,title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,day,hour,minute
49,251,6.6,9,8,1,0,1043,9,141,8.454,34.0,8,12.0,29.7263,102.279,181,1,36,2022,9,5,4,52
50,313,6.6,7,6,0,1,672,9,68,5.293,34.0,8,30.0,-32.6922,-178.959,498,6,54,2022,8,14,13,44
51,619,7.0,9,8,3,1,1351,9,152,5.276,22.0,8,33.73,17.5978,120.809,46,1,38,2022,7,27,0,43
52,5,6.5,3,2,0,0,653,9,236,1.999,31.0,8,622.73,-9.0618,-71.1647,446,5,7,2022,6,8,0,55
53,741,7.2,7,5,0,1,876,9,144,2.494,40.0,8,236.0,-14.8628,-70.3081,34,5,37,2022,5,26,12,2
54,530,6.9,2,5,0,1,733,9,127,0.371,45.0,8,10.0,-54.1325,159.027,471,6,54,2022,5,19,10,13
55,512,6.8,6,5,0,1,762,9,162,1.505,30.0,8,220.0,-23.6141,-66.7236,389,5,3,2022,5,10,23,6
56,267,6.6,6,5,0,1,762,9,0,0.914,94.0,8,27.0,11.5538,-86.9919,254,6,54,2022,4,21,7,42
57,683,7.0,6,4,0,1,763,9,0,2.705,26.0,8,10.0,-22.5732,170.349,500,6,54,2022,3,31,5,44
58,569,6.9,6,4,0,1,738,9,0,2.697,42.0,8,10.0,-22.72,170.277,442,6,54,2022,3,30,20,56
59,401,6.7,8,7,0,1,806,9,0,0.289,32.0,8,24.0,23.3421,121.636,148,1,44,2022,3,22,17,41
60,808,7.3,9,8,2,1,2397,9,0,2.936,29.0,8,41.0,37.7015,141.587,289,6,54,2022,3,16,14,36
61,348,6.7,9,6,0,0,708,9,0,2.188,43.0,8,28.0,-0.6831,98.6034,339,1,20,2022,3,13,21,9
62,305,6.6,2,7,0,1,670,9,0,0.827,46.0,8,24.0,-30.0528,-177.74,191,6,54,2022,3,2,12,52
63,529,6.8,2,3,0,1,712,9,0,5.78,12.0,8,535.0,-23.7852,-179.968,496,6,54,2022,2,16,20,21
64,94,6.5,8,6,0,0,690,9,0,3.026,22.0,8,110.0,-4.455,-76.9395,49,5,37,2022,2,3,15,58
65,150,6.5,7,4,0,1,651,9,0,1.088,57.0,8,8.0,-29.535,-176.729,190,6,54,2022,1,29,2,46
66,289,6.6,8,6,0,0,785,9,0,2.418,22.0,8,33.0,-6.9291,105.251,219,6,20,2022,1,14,9,5
67,116,6.5,0,3,0,1,650,1,97,1.616,108.0,0,37.0,52.502,-168.08,302,6,54,2022,1,11,12,39
68,116,6.5,0,3,0,1,650,8,23,0.0,208.8,0,37.0,52.502,-168.08,302,6,54,2022,1,11,12,39
69,266,6.6,8,5,0,1,674,9,0,0.507,49.0,8,19.0,52.6252,-168.15,302,6,54,2022,1,11,12,39
70,414,6.7,0,4,0,1,691,1,50,0.937,126.0,0,33.0,52.48,-167.736,302,6,54,2022,1,11,11,35
71,414,6.7,0,4,0,1,691,8,20,0.0,205.2,0,33.0,52.48,-167.736,302,6,54,2022,1,11,11,35
72,430,6.8,7,6,0,1,730,9,0,0.92,61.0,8,20.0,52.6563,-167.917,302,6,54,2022,1,11,11,35
73,256,6.6,6,6,0,0,976,9,0,1.168,21.0,8,21.0,35.1456,31.9095,370,1,54,2022,1,11,1,7
74,311,6.6,9,8,1,0,1012,9,0,2.685,13.0,8,13.0,37.8167,101.299,493,1,36,2022,1,7,17,45
75,788,7.3,8,7,0,0,921,9,0,3.713,19.0,8,165.49,-7.5924,127.581,236,6,20,2021,12,29,18,25
76,814,7.3,9,5,0,1,854,9,0,1.025,32.0,8,14.27,-7.6033,122.2,125,1,20,2021,12,14,3,20
77,858,7.5,8,8,3,1,1094,9,0,4.951,40.0,8,126.0,-4.4898,-76.8461,49,5,37,2021,11,28,10,52
78,203,6.6,7,4,0,1,688,9,0,3.259,15.0,8,12.0,23.5414,126.48,145,6,54,2021,11,10,15,45
79,532,6.9,8,6,0,1,995,0,0,0.0,0.0,8,51.6,56.2581,-156.492,89,3,53,2021,10,11,9,10
80,611,6.9,4,3,0,1,740,9,0,4.778,31.0,8,535.0,-21.1704,174.54,478,6,54,2021,10,9,10,58
81,820,7.3,4,4,0,1,826,9,0,4.493,32.0,8,527.0,-21.1036,174.895,478,6,54,2021,10,2,6,29
82,124,6.5,7,5,0,1,684,9,0,0.993,114.0,8,21.0,12.1598,-87.8542,169,6,54,2021,9,22,9,57
83,677,7.0,8,8,2,1,2504,9,0,0.07,43.0,8,20.0,16.9502,-99.7877,9,3,26,2021,9,8,1,47
84,738,7.1,1,4,0,1,776,9,0,9.799,32.0,8,6.0,-60.3026,-24.9992,430,6,2,2021,8,22,21,33
85,309,6.6,1,3,0,1,670,9,0,8.865,19.0,8,7.0,-60.1023,-24.4608,430,6,2,2021,8,22,0,45
86,546,6.9,8,7,0,1,741,9,0,0.579,54.0,8,93.0,-14.892,167.085,352,4,55,2021,8,18,10,10
87,608,6.9,6,4,0,1,734,9,0,8.363,48.0,8,16.7,-58.3814,-23.3318,430,6,54,2021,8,16,11,10
88,780,7.2,9,8,2,1,2331,9,0,1.178,23.0,8,10.0,18.3521,-73.4804,303,3,17,2021,8,14,12,29
89,540,6.9,5,4,0,1,738,0,0,0.0,0.0,8,33.3,55.2364,-157.707,342,6,54,2021,8,14,11,57
90,537,6.9,5,4,0,1,738,9,0,1.173,36.0,8,20.74,55.2657,-157.68,342,6,54,2021,8,14,11,57
91,964,8.1,0,7,0,0,1009,9,0,7.463,78.0,8,22.79,-58.4157,-25.3206,430,6,54,2021,8,12,18,35
92,867,7.5,9,6,0,1,868,9,0,7.227,38.0,8,47.23,-57.5959,-25.1874,430,6,54,2021,8,12,18,32
93,723,7.1,9,7,0,1,846,9,0,1.273,25.0,8,55.14,6.4547,126.742,348,6,54,2021,8,11,17,46
94,969,8.2,8,6,0,1,1237,9,0,0.875,66.0,8,46.66,55.4742,-157.917,342,6,54,2021,7,29,6,15
95,971,8.2,8,7,3,1,1252,0,0,0.0,0.0,8,35.0,55.3154,-157.829,342,6,54,2021,7,29,6,15
96,343,6.7,8,5,0,1,935,9,0,8.139,12.0,8,110.0,13.6989,120.713,149,1,38,2021,7,23,20,48
97,404,6.7,6,6,0,1,830,9,0,1.395,61.0,8,10.0,7.5904,-82.8813,75,6,54,2021,7,21,21,15
98,151,6.5,0,4,0,1,650,9,0,7.994,24.0,8,25.0,-30.2144,-177.773,191,6,54,2021,6,20,17,5
99,59,6.5,5,7,0,1,652,9,0,4.518,44.0,8,10.0,-16.4796,-177.356,18,6,54,2021,5,21,22,13
100,819,7.3,9,9,1,0,1025,9,0,4.655,9.0,8,10.0,34.5861,98.2551,432,1,36,2021,5,21,18,4
101,367,6.7,8,4,0,0,698,9,0,1.487,37.0,8,11.0,0.1684,96.6475,423,6,54,2021,5,14,6,33
102,423,6.7,9,3,0,0,694,9,0,10.669,45.0,8,10.0,-17.2495,66.3745,261,6,54,2021,5,12,14,5
103,530,6.9,7,6,0,1,919,9,0,2.619,35.0,8,43.0,38.2296,141.665,471,1,23,2021,5,1,1,27
104,47,6.5,4,4,0,0,651,9,0,5.931,20.0,8,246.0,-21.6857,-177.064,139,6,54,2021,4,25,22,28
105,50,6.5,6,4,0,0,652,9,0,10.405,19.0,8,301.0,-18.9204,-176.235,334,6,54,2021,4,24,0,23
106,651,7.0,7,7,3,1,1052,9,0,2.378,35.0,8,43.0,38.4752,141.607,161,1,23,2021,3,20,9,9
107,201,6.6,5,5,0,1,672,9,0,3.183,18.0,8,13.23,54.7018,163.208,472,6,54,2021,3,16,18,38
108,150,6.5,0,4,0,0,650,9,0,11.764,25.0,6,24.0,-28.4792,-176.619,190,6,54,2021,3,4,23,12
109,963,8.1,9,8,0,1,1021,9,0,0.739,21.0,8,28.93,-29.7466,-177.224,191,6,54,2021,3,4,19,28
110,839,7.4,3,7,0,1,843,9,0,0.437,30.0,8,43.0,-29.6131,-177.842,191,6,54,2021,3,4,17,41
111,794,7.3,7,6,0,1,932,9,0,0.918,24.0,8,10.0,-37.596,179.544,130,6,54,2021,3,4,13,27
112,727,7.1,9,8,1,1,1612,9,0,3.085,11.0,8,43.98,37.6856,141.992,289,6,54,2021,2,13,14,7
113,916,7.7,9,4,0,1,918,9,0,7.989,15.0,8,10.0,-23.2787,171.489,500,6,54,2021,2,10,13,19
114,609,6.9,9,5,0,1,739,9,0,1.55,16.0,8,15.0,-61.8484,-55.559,431,6,2,2021,1,23,23,36
115,638,7.0,7,5,0,1,802,9,0,2.821,15.0,8,80.0,5.0074,127.517,348,6,54,2021,1,21,12,23
116,371,6.7,8,8,0,0,776,9,0,2.043,22.0,8,10.0,51.2407,100.443,468,1,27,2021,1,11,21,32
117,341,6.7,5,5,0,1,776,9,0,1.319,19.0,8,10.0,-39.3264,-74.9067,101,6,54,2020,12,27,21,39
118,626,7.0,8,7,1,0,1527,9,0,1.518,18.0,8,21.0,37.8973,26.7953,313,2,15,2020,10,30,11,51
119,891,7.6,9,7,3,1,1165,9,0,0.23,36.0,8,28.37,54.662,-159.675,403,3,53,2020,10,19,20,54
120,612,6.9,0,3,0,1,732,9,0,11.255,16.0,8,10.0,0.9604,-26.8332,491,6,54,2020,9,18,21,43
121,140,6.5,6,6,0,0,674,9,0,0.388,49.0,8,16.0,-27.9285,-71.3937,474,6,54,2020,9,1,21,9
122,513,6.8,6,7,0,1,824,9,0,0.312,69.0,8,21.0,-28.013,-71.1958,474,6,9,2020,9,1,4,9
123,157,6.5,4,5,0,0,651,9,0,15.394,31.0,8,10.0,0.8696,-29.7046,491,6,54,2020,8,30,21,20
124,557,6.9,4,3,0,0,749,9,0,2.267,20.0,8,624.0,-6.6704,123.493,184,6,20,2020,8,21,4,9
125,535,6.9,4,4,0,0,735,9,0,1.716,25.0,8,26.0,-4.2791,101.215,56,6,20,2020,8,18,22,29
126,447,6.8,5,4,0,0,716,9,0,1.816,34.0,8,22.0,-4.3724,101.095,56,6,20,2020,8,18,22,23
127,183,6.6,9,8,3,1,784,9,0,5.128,14.0,8,10.0,12.0065,124.13,399,6,38,2020,8,18,0,3
